ID,Company _Account,Type,Salutation,First Name,Last Name,Phone,Mobile,Email,Street,Post Code
,Trutex,Fashion,,Denise,Griffiths,01633 222 61,,newport@trutex.com,"Cambrian Rd, Newport",NP20 4AB
,Hardy's,Beauty ,,Tim,Mitchell,,07496 589465,,"34 Cambrian Road, NEWPORT",NP20 4AB
,Fresh Start,,,Lydia,Stedman,01633 546 130,,info@freshstart.co.uk,"36 Cambrian Rd, Newport",NP20 4AB
,Thomas Cook,Services,,Shane,Stowhill,01633 439 686,,,"80 Bridge St, Newpor",NP20 4AB
,Davis and Sons Estate Agents,Estate Agents,,Christopher,Davies,01633 243 515,,christopher.newport@davisandson.net,20 Cambrian Road,NP20 4AB
,SA Cutler,Food,,,[not provided],01633 250 282,,insurance@watkindavies.com,22 Cambrian Road,NP20 4AB
,Efe's Grill,Food,,M.N,Gundogu,01633 843 268,,,24 Cambrian Road,NP20 4AB
,Blind Tiger,food,,Gethin,Hughes,01633 259144,07970 490 493,,48 Cambrian Road,NP20 4AB
,Courtyard,Pub,,Gethin/Pamela,[not provided],01633 259144,07970 490 493,,46 Cambrian Road,NP20 4AB
,Warehouse 54,Services,,Chris,Chicle,,07415 166 819,,50 Cambian Road,NP20 4AB
,Hardys Barbers,Beauty ,,Tim,Mitchell,01633 266 388,07496 589 455,hardys05@outlook.com,34 Cambrian Road,NP20 4AB
,Davis and Sons Estate Agents,Estate Agents,,Chris,Davis,01633 243 515,07881 951 805,christopher.newport@davisandsons.net,20 Cambrian Road,NP20 4AB
,Trutez,Services,,Denise,[not provided],01633 222 261,,newport@trutex.com,26 Cambrian Road,NP20 4AB
,Tesco Express,Groceries,,Gavin,Price,,07718 532 518,5871@uk.tesco.com,14 Cambrian Road,NP20 4AB
,SA Cutler Insurance Consultants,Finance,,Ben,Tweddle,01633 250 280,,ben.tweddle@watkindavies.com,22 Cambrian Road,NP20 4AB
,HI FI Western Ltd,Finance,,Peter,Morris,01633 262 790,,sales@hifiwestern.co.uk,52 Cambrian Road,NP20 4AB
,Efes Grill,food,,,[not provided],01633 251 080,,,24 Cambrian Road,NP20 4AB
,Fresh Start,Food,,Flora,Steadman,01633 423344,,lydia_s@hotmail.co.uk,36 Cambrian Road,NP20 4AB
,The Gym,Leisure,,Simon,Pope,0330 055 3924,07989 226976,simon.pope@thegymgroup.com,"The Cambrian Centre, Station Quarter",NP20 4AD
,The John Wallace Linton,Pub,,Gareth,Brookes,01633 251 752,,p191@jdwetherspoon.co.uk,"Unit 10-12 The Cambrian Centre, Cambrian Road",NP20 4AD
,Ladbrokes,Gambling,,,[not provided],01633 213 747,,,"Unit 5, Cambrian Retail Centre, Cambrian Road",NP20 4AD
,Breeze,Pub,,Tony,Simpson,01663 548 642,,tony@breeze-newport.co.uk,6-8 Cambrian Road,NP20 4AD
,Kingston Newell,Estate Agents,Mr.,David,Martin,01633 221 441,,newport@newlandrennie.com,70 Bridge Street,NP20 4AG
,Admiral,Finance,,,[not provided],02920 434239,,,Admiral House,NP20 4AG
,The Lamb,food,,Richard,Davenport,01633 255 200,,baa@thelambnewport.com,6 Bridge Street,NP20 4AL
,Haart Estate Agents,Estate Agents,,Sarah,Lavery,01633 22 33 55,,newport.lettings@haart.co.uk,11 Bridge Street,NP20 4AL
,ST Pauls Church,Faith,,,[not provided],01633 266 076,,,9 Bridge Street,NP20 4AL
,Haart,Estate Agents,,Becci,Cook,01633 222 255,,rebecca.cook@haart.co.uk,11 Bridge Street,NP20 4AL
,Red Key Property Services,Estate Agents,,Sam,Ringham,01633 387 970,,newport@redkeylets.co.uk,21 Bridge Street,NP20 4AN
,The Queens Hotel,Accomodation,,Matt,Gough,01633 844 900,,,19 Bridge Street,NP20 4AN
,Queens Hotel Lloyds Bar,Pub,,Matt,Gough,01633 844 900,,p6112@jdwetherspoon.co.uk,19 Bridge Street,NP20 4AN
,Travelodge,Accomodation,,Debbie,Dix,0203 195 4565,,,66 Bridge Street,NP20 4AP
,Roberts & Co-Lets,Estate Agents,,Adrian,Smith,01633 255 522,,newport@roberts.co.uk,76 Bridge Street,NP20 4AQ
,Roberts & Co Sales,Estate Agents,,Katie,Darlow,01633 26 77 88,,newport@roberts.co.uk,76 Bridge Street,NP20 4AQ
,Peter Allan,Services,,James,Matthews,01633 221 892,,newport@peteralan.co.uk,75 Bridge Street,NP20 4AQ
,Crook & Blight,Services,,Holly,Inson,01633 222333,,sales@crookandblight.com,Bank Buildingss 67 Bridge Street,NP20 4AQ
,Mortgage Advice Bureau,Finance,,Dawn,Harris,01633 240 050,,dawn.harris@mab.org.uk,77 Bridge Street,NP20 4AQ
,David Stock & Co LTD,Finance,,David,Stock,01633 672 000,,david@davidstock.com,73 Bridge Street,NP20 4AQ
,Root 66,,,Tracy,Nelmes,01633 265 544,,traceynelmes@hotmail.co.uk,13 Station Street,NP20 4AU
,John Wallace Linton,Services,,Grace,Randall,01633 251 752,,p191@jdweatherspoon.co.uk,10-12 Cambrian Road,NP20 4AX
,Le Pub,pub,,,[not provided],01633 221 477,,sam@lepub.co.uk,Caxton Place,NP20 4BN
,Smooth Moves,,,,[not provided],01633 401 070,,admin@smoothmovesagents.co.uk,18 Baneswell Road,NP20 4BP
,Friends Lounge,Leisure,,,[not provided],01633 258 855,,,39 West Street,NP20 4DD
,The Angel,,,,[not provided],01633 265 704,,,"39 West Street, Baneswell",NP20 4DD
,Property 1st Group Ltd,Estate Agents,,Gordon,Lewis,01633 404 777,07799 770 060,property1stgroup@hotmail.com,44 Bailey Street,NP20 4DJ
,Drinks Express,Food,,M,Iqbal,01633 211 296,,lifestylexpress@live.co.uk,232 Stow Hill,NP20 4HA
,Break n Dish,Food,,David,Barton,01633 840 508,07793 794647,,14 Stow Hill,NP20 4LT
,Frankie & Bennys,Food,,,[not provided],01633 252 635,,newportfriarswalk@frankiebennys.co.uk,59 Friars Walk,NP20 4QS
,Jack + Jones,Retail,,Dan,Bradley,01633 749 451,07851 649 394,jjgbr359873@bestseller.com,17 Friars Walk,NP20 4UR
,St David's Foundation Hospice Care,Medical,,,[not provided],01633 851 051,,enquiries@stdavidshospicecare.org,Blackett Avenue,NP20 6NH
,Kymin Financial,Finance,,Robin,,01633 840000,,robin@kymin.co.uk,35 Bridge Street,NP20 4BH
,Diverse,,,Paul,,01633 259661,,paul@diversevinyl.com,10 Charles Street,NP20 1JU
